mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_loss,param_n_jobs,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.05697214603424072,0.01162132190489133,0.00025599002838134767,0.0007679700851440428,100.0,hinge,-1,l2,"OrderedDict([('alpha', 100.0), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.03515407999506203,0.038645565314052714,0.10825085158873023,0.1944788143499687,0.13252002214987363,0.038645565314052714,0.1164932324674882,0.21742748306408144,0.03872152151537032,0.15253015656802543,0.10728672923267053,0.06467638436665751,15
0.04939990043640137,0.005306614315924192,0.0035033941268920897,0.0061126433290417895,0.1,hinge,-1,l2,"OrderedDict([('alpha', 0.1), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.748325227515487,0.7728582493475142,0.7670608602819046,0.781568968055772,0.7731527114526122,0.7583289408795785,0.7679305467591421,0.7754498665917074,0.7711965925933382,0.7500753615770236,0.7665947325054079,0.010406951483738014,7
0.04811208248138428,0.0013391105538705604,0.00317997932434082,0.00636111398222763,10.0,hinge,-1,l2,"OrderedDict([('alpha', 10.0), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.12716699662460781,0.21167393786752395,0.5226860359596815,0.1903667597095248,0.4314082562391356,0.03515407999506203,0.1135219890712198,0.13837331665878697,0.3438126207509989,0.11196714387661477,0.2226131136753156,0.14999286041115878,9
0.050038933753967285,0.007788320946527581,9.95635986328125e-05,0.0002986907958984375,10.0,hinge,-1,l2,"OrderedDict([('alpha', 10.0), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.14309145347084498,0.14607297002745276,0.3188597875842092,0.1284323398746039,0.1810810346855972,0.20796042411070184,0.2582209942509615,0.2751165744322321,0.19385303994135938,0.017032100196400397,0.1869720718574363,0.08165018934229515,10
0.049349522590637206,0.005940182296981212,0.0018771171569824218,0.004981504844737434,0.001,hinge,-1,l2,"OrderedDict([('alpha', 0.001), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.8995727037955127,0.8764634805722797,0.884985220150636,0.893922780911061,0.8860212533921101,0.9042753607358018,0.9021199559717406,0.9013547878020859,0.8965812562727137,0.8823945493993866,0.8927691349003328,0.009139616308603616,4
0.05002579689025879,0.006609802791538559,0.0017628908157348634,0.0046381720421081706,100.0,hinge,-1,l2,"OrderedDict([('alpha', 100.0), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.06249025204856948,0.21246657340586023,0.10825085158873023,0.06249025204856948,0.1267922412318044,0.10747252420814064,0.06384516730791652,0.18218552410421252,0.10767507002801122,0.2285615533895172,0.12622300093613317,0.05837515405101036,13
0.05247201919555664,0.009104686860631416,0.0012048959732055664,0.000985061311222893,0.01,hinge,-1,l2,"OrderedDict([('alpha', 0.01), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.8781223539005605,0.8795356712938668,0.8749605722851714,0.8809841765182526,0.8763762328958422,0.8829442292167231,0.8858408983185537,0.8895665961411309,0.8842121617571973,0.8697536059829841,0.8802296498310284,0.005474898412819446,6
0.049762177467346194,0.007637061112386992,0.0020736217498779296,0.004586315937595047,1000.0,hinge,-1,l2,"OrderedDict([('alpha', 1000.0), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.18747927708158205,0.26178418880490895,0.03515407999506203,0.13727046440773835,0.06249025204856948,0.16834916600929314,0.24654627260158177,0.10767507002801122,0.11061741453898317,0.1423010031635216,0.14596671886792517,0.06914249550647986,11
0.050450921058654785,0.005279808868238736,0.002179861068725586,0.0046253632194467225,100.0,hinge,-1,l2,"OrderedDict([('alpha', 100.0), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.12108302211442486,0.10825085158873023,0.06249025204856948,0.28930301462042624,0.06555470701849558,0.06311582884130587,0.20558198743517012,0.10767507002801122,0.035223380980727165,0.172295026041998,0.12305731407178588,0.07457529739159609,14
0.05221962928771973,0.008808610540356782,0.001962161064147949,0.004599501990031588,100.0,hinge,-1,l2,"OrderedDict([('alpha', 100.0), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.222257712081702,0.025561267088295137,0.017352869774226103,0.025561267088295137,0.025561267088295137,0.34961268845577587,0.10747252420814064,0.34087737057903555,0.20301603090258433,0.14237173882263515,0.1459644736088985,0.12250120416391212,12
0.05100393295288086,0.009300381330898073,0.00010001659393310547,0.0003000497817993164,0.0001,hinge,-1,l2,"OrderedDict([('alpha', 0.0001), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.8975611692082979,0.8841560651108837,0.8826775265517323,0.9100213744558104,0.9065499514955878,0.8869355397592431,0.9041818660633638,0.872123196963978,0.911912949303681,0.8961987238342597,0.8952318362746837,0.012628042391814562,2
0.04953935146331787,0.008058944696932774,0.00020463466644287108,0.00040938057213298046,1.0,hinge,-1,l2,"OrderedDict([('alpha', 1.0), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.5932144271054377,0.589221510164683,0.536955108278262,0.6158296705296521,0.47857496916358117,0.6366589840449061,0.5393118562286687,0.6371495441855229,0.6022830083935337,0.6210771630877426,0.5850276241181991,0.04873012812628875,8
0.052939629554748534,0.008905481387708516,0.000499892234802246,0.0008058278799499151,0.0001,hinge,-1,l2,"OrderedDict([('alpha', 0.0001), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.8952167501421693,0.9044591740087599,0.8948473547591592,0.9000441964165334,0.9005673513084269,0.9087833460656193,0.9106103755162754,0.8955631301233604,0.8975578000726872,0.8808784263781558,0.8988527904791146,0.007984286932912152,1
0.05342113971710205,0.012342863828889836,0.00020020008087158204,0.0004004001936856305,0.001,hinge,-1,l2,"OrderedDict([('alpha', 0.001), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.9006652028316227,0.8862667348497649,0.8880895046183551,0.8821424836010847,0.9010968979565631,0.8963051959784948,0.894664929069148,0.9088782737977472,0.8983446693157031,0.8884985574492024,0.8944952449467685,0.007771340723967195,3
0.05055170059204102,0.008848310896538343,0.0019623756408691405,0.004599508990371522,0.0001,hinge,-1,l2,"OrderedDict([('alpha', 0.0001), ('loss', 'hinge'), ('n_jobs', -1), ('penalty', 'l2')])",0.8834786404722906,0.8885681060335312,0.880471496461583,0.9071836865589378,0.8944720163100952,0.8967469076817413,0.911521736155428,0.8621210677518105,0.8803867187953726,0.8948977313195244,0.8899848107540315,0.01361245840364831,5
